Source	Name	Location	Motivation	Other names
Beyond Identity	1877 Team	Iraq	Hacktivists	
Beyond Identity	3AM Group	Russia	Ransomware Gang	ThreeAM Group
Beyond Identity	A41APT	China	APT	A41APT
Beyond Identity	Agrius	Iran	APT	Spectral Kitten
Beyond Identity	Alchemist Spider	Russia	Organized Crime	Alchemist Spider
Beyond Identity	ALPHV	Russia	Ransomware Gang	BlackCat
Microsoft 	Amethyst Rain	Lebanon	Nation-state	"VolcanicTimber, Volatile Cedar"
Beyond Identity	Amoeba	China	APT	APT41
Beyond Identity	Andariel	North Korea	APT	UNC577/UNC2970/UNC4131/UNC4369/TEMP.Hermit
Beyond Identity	Andromeda Spider	Belarus	Organized Crime	Andromeda Spider
Beyond Identity	Anon Italia	Italy	Hacktivists	ATK123
Microsoft 	Antique Typhoon	China	Nation-state	Storm-0558
Beyond Identity	Antlion	China	APT	Antlion
Beyond Identity	Aoqin Dragon	China	APT	Aoqin Dragon
Beyond Identity	APT.3102	China	APT	APT.3102
Beyond Identity	APT1	China	APT	APT1
Beyond Identity	APT10	China	APT	Happyyongzi/MenuPass
Beyond Identity	APT12	China	APT	APT12/BeeBus
Beyond Identity	APT14	China	APT	APT14
Beyond Identity	APT15	China	APT	Ke3chang/Playful Dragon
Beyond Identity	APT16	China	APT	APT16
Beyond Identity	APT17	China	APT	Temp.Avengers/DeputyDog
Beyond Identity	APT18	China	APT	APT18
Beyond Identity	APT19	China	APT	Sunshop Group
Beyond Identity	APT2	China	APT	APT2
Beyond Identity	APT20	China	APT	APT8
Beyond Identity	APT21	China	APT	APT21
Beyond Identity	APT22	China	APT	APT22
Beyond Identity	APT23	China	APT	APT23/Temp.Hex/UNC53/UNC4191
Beyond Identity	APT26	China	APT	KungFu Kittens
Beyond Identity	APT27	China	APT	APT27/Temp.Hippo/UNC215
Beyond Identity	APT28	Russia	APT	APT28
Beyond Identity	APT29	Russia	APT	APT29/UNC3524
Beyond Identity	APT3	China	APT	APT3
Beyond Identity	APT30	China	APT	APT30
Beyond Identity	APT31	China	APT	APT31
Beyond Identity	APT32	Vietnam	APT	APT32
Beyond Identity	APT33	Iran	APT	APT33
Beyond Identity	APT34	Iran	APT	APT34
Beyond Identity	APT35	Iran	APT	Temp.Beanie/UNC788
Beyond Identity	APT36	Pakistan	APT	Temp.Lapis
Beyond Identity	APT37	North Korea	APT	Temp.Reaper
Beyond Identity	APT38	North Korea	APT	APT38/UNC1758/UNC1069/UNC4736
Beyond Identity	APT39	Iran	APT	APT39
Beyond Identity	APT4	China	APT	APT4
Beyond Identity	APT41	China	APT	
Beyond Identity	APT42	Iran	APT	APT42
Beyond Identity	APT5	China	APT	APT5/UNC2630
Beyond Identity	APT6	China	APT	APT6
Beyond Identity	APT9	China	APT	APT9
Beyond Identity	APT-K-47	Pakistan	APT	Mysterious Elephant
Microsoft 	Aqua Blizzard	Russia	Nation-state	"ACTINIUM, PRIMITIVE BEAR, Gamaredon, Armageddon, UNC530, shuckworm, SectorC08"
Beyond Identity	Aslan Neferler Tim	Turkey	Hacktivists	
Beyond Identity	Asylum Ambuscade	Belarus	APT	TA866
Beyond Identity	Avalanche	Russia	Organized Crime	Avalanche
Beyond Identity	Avivore	China	APT	Avivore
Beyond Identity	Ayy?ld?z Tim	Turkey	Hacktivists	Thunderbolt Jackal
Beyond Identity	BabyElephant	India	APT	
Beyond Identity	BackdoorDiplomacy	China	APT	G0135
Beyond Identity	Bax026	Iran	Hacktivists	Frontline Jackal
Beyond Identity	BellTroX	India	Mercenary	Amanda Lovers
Microsoft 	Berry Sandstorm	Iran	Nation-state	Storm-0852
Beyond Identity	BianLian	China	Organized Crime	
Beyond Identity	Big Panda	China	APT	Big Panda
Beyond Identity	Bitter	India	APT	Hazy Tiger
Beyond Identity	BlackByte	Russia	Ransomware Gang	
Beyond Identity	BlackEnergy	Russia	APT	Temp.Noble/UNC3715/UNC3810
Beyond Identity	Blackgear	China	APT	Blackgear
Beyond Identity	BlackTech	China	APT	Temp.Overboard
Beyond Identity	Blue Dragon	Russia	Hacktivists	ATK125
Beyond Identity	Blue Termite	China	APT	Blue Termite
Microsoft 	Blue Tsunami	Israel	 Private sector offensive actor	
Beyond Identity	Bohrium	Iran	APT	TA455
Beyond Identity	Boson Spider	Russia	Organized Crime	Boson Spider
Beyond Identity	Boss Spider	Iran	Organized Crime	Boss Spider
Beyond Identity	Boulder Bear	Russia	APT	Boulder Bear
Microsoft 	Brass Typhoon	China	Nation-state	"BARIUM, WICKED PANDA, APT41"
Microsoft 	Brocade Typhoon	China	Nation-state	"BORON, GOTHIC PANDA, UPS, APT3, OLDCARP, TG-0110, Red Sylvan, CYBRAN"
Beyond Identity	Bronze Butler	China	APT	Temp.Tick
Beyond Identity	Bronze Spiral	China	APT	Bronze Spiral
Beyond Identity	Budminer	China	APT	Budminer
Beyond Identity	BugDrop	Russia	APT	BugDrop
